OID_,FACILITYID,LSPC_LU_EDIT,Shape_Area,AREA,PERCENTAGE
1,DP02-12131-1,OSDEV,40738.286510724785330,0.935226112588606,9.055079891865493
2,DP02-12131-1,OSLOW,12008.472552888857535,0.275677699424315,2.669176532917167
3,DP02-12131-1,RESSFH,271011.392205122567248,6.221590363956465,60.238905909236742
4,DP02-12131-1,TRANS,126136.140591263421811,2.895698924181346,28.036840233935202
5,DP04-12015-1,EDU,88921.224391702809953,2.041358587641585,1.141046574660520
6,DP04-12015-1,OSAGIR,529214.078306673211046,12.149132120508199,6.790931135337577
7,DP04-12015-1,OSDEV,889285.946384106529877,20.415277859012022,11.411411504473239
8,DP04-12015-1,OSFOR,26062.808157848237897,0.598322139793242,0.334440716240541
9,DP04-12015-1,OSLOW,4678938.268414927646518,107.414072181454273,60.040631702334565
10,DP04-12015-1,RESMF,597811.018899703165516,13.723907487395607,7.671174346464252
11,DP04-12015-1,RESSFH,870905.993205571197905,19.993330505968668,11.175557997503924
12,DP04-12015-1,TRANS,111813.700205431086943,2.566899620329975,1.434805250291069
13,DP05-12190-1,OSDEV,450179.761312715301756,10.334746603240653,20.270628983265357
14,DP05-12190-1,RESSFH,1630825.016843367367983,37.438740591437217,73.432552269038794
15,DP05-12190-1,TRANS,139842.699832808983047,3.210359485888119,6.296816800611131
16,DP06-12106-1,COMM,762500.161889849929139,17.504665103297693,26.304868099539874
17,DP06-12106-1,OSAGIR,41764.821929672718397,0.958792217388926,1.440810359092772
18,DP06-12106-1,OSDEV,363387.470304198912345,8.342261796566595,12.536206486416827
19,DP06-12106-1,OSIRR,16.474427023046278,0.000378202316826,0.000568337754556
20,DP06-12106-1,OSLOW,142889.359747090638848,3.280301453311395,4.929422902231330
21,DP06-12106-1,RESMF,203952.183080813323613,4.682116595316646,7.035979194098870
22,DP06-12106-1,RESSFH,773326.399511918658391,17.753202314664755,26.678353597506149
23,DP06-12106-1,TRANS,610866.686288777273148,14.023625568476881,21.073789111602277
24,I00-11437-1,COMM,129159.095634375538793,2.965096700466208,0.489942642262340
25,I00-11437-1,EDU,531639.940390372299589,12.204822473749166,2.016683965211408
26,I00-11437-1,OSAGIR,267537.805531738209538,6.141847467542950,1.014858293204103
27,I00-11437-1,OSDEV,1179371.141324357828125,27.074744233771266,4.473740005304128
28,I00-11437-1,OSFOR,730137.033074591774493,16.761706924506100,2.769648280991391
29,I00-11437-1,OSIRR,81054.853861708310433,1.860770846696429,0.307467538961490
30,I00-11437-1,OSLOW,5832149.634198600426316,133.888268201724600,22.123248756226985
31,I00-11437-1,RESMF,5261.044972160511861,0.120777456758575,0.019956862209829
32,I00-11437-1,RESSFH,14925169.602212222293019,342.636118068634630,56.616043920140299
33,I00-11437-1,TRANS,2539220.026214699726552,58.292703928495769,9.632091048785336
34,I00-11437-1,UTIL,141384.913675794203300,3.245763985701229,0.536319163912721
35,I00-11453-1,COMM,94229.159619330122950,2.163212500851684,0.632352154413501
36,I00-11453-1,EDU,1064948.810187919531018,24.447958448024327,7.146648417357629
37,I00-11453-1,OSDEV,578562.499200510792434,13.282020510960756,3.882611755323890
38,I00-11453-1,OSLOW,2527136.086835031397641,58.015293742187900,16.959080983657788
39,I00-11453-1,RESMF,256128.509185552276904,5.879925016130914,1.718824780402446
40,I00-11453-1,RESSFH,8379319.914002839475870,192.363485568940547,56.231860939282718
41,I00-11453-1,TRANS,2001049.181434437865391,45.937951920458595,13.428621947593616
42,I00-11468-1,COMM,115290.173977799873683,2.646708795681343,1.185074048234082
43,I00-11468-1,OSAGIR,63476.665080547667458,1.457229545178368,0.652480136510929
44,I00-11468-1,OSDEV,468076.660270784108434,10.745604512925672,4.811385771503828
45,I00-11468-1,OSFOR,650465.946612520026974,14.932703133244079,6.686175291390809
46,I00-11468-1,OSLOW,4455675.449458526447415,102.288642612805162,45.800133353288167
47,I00-11468-1,RESMF,5261.044972160511861,0.120777456758575,0.054078571035033
48,I00-11468-1,RESSFH,3131155.473723715171218,71.881726317336657,32.185319571211558
49,I00-11468-1,TRANS,839119.433823793078773,19.263608593011892,8.625354877033468
50,I00-11518-1,COMM,236796.522896369715454,5.436121902784732,0.842598966176946
51,I00-11518-1,EDU,531639.940390372299589,12.204822473749166,1.891747643386400
52,I00-11518-1,OSAGIR,267537.805531738209538,6.141847467542950,0.951986437963644
53,I00-11518-1,OSDEV,1233406.126608562888578,28.315221768775707,4.388859745256923
54,I00-11518-1,OSFOR,730137.033074591774493,16.761706924506104,2.598064792975833
55,I00-11518-1,OSIRR,81054.853861708310433,1.860770846696429,0.288419505625038
56,I00-11518-1,OSLOW,5834862.913862541317940,133.950556781088466,20.762338056612371
57,I00-11518-1,RESMF,112049.130260618316242,2.572304372325160,0.398707211422784
58,I00-11518-1,RESSFH,15866872.334172196686268,364.254724560420755,56.459487080754087
59,I00-11518-1,TRANS,3067369.472096427343786,70.417395353790738,10.914697202721461
60,I00-11518-1,UTIL,141384.913675794203300,3.245763985701229,0.503093460322374
61,I01-11010-1,COMM,358420.150369553535711,8.228227365804779,67.727127778129486
62,I01-11010-1,TRANS,170791.947874061268521,3.920859298528519,32.272873233314655
63,I01-11010-2,COMM,93614.184341419066186,2.149094554620749,9.801426693548859
64,I01-11010-2,OSDEV,44822.724026510521071,1.028992270843538,4.692949544363401
65,I01-11010-2,OSLOW,948.873514754080929,0.021783225671706,0.099347275861456
66,I01-11010-2,RESMF,191386.675343219802016,4.393651076497196,20.038229053592673
67,I01-11010-2,RESSFH,331210.913798684370704,7.603586745783154,34.677859071670738
